archivo,clase_etiqueta,recolector,score_propio,suena_mas_a,score_suena_mas_a,delta,segunda_opcion,score_segunda,score_enojo,score_tristeza,score_feliz,score_tranquilidad
SG_09_TRA.mp4,Tranquilidad,SG,0.072,Feliz,0.767,0.695,Enojo,0.579,0.579,0.35,0.767,0.072
SG_07_TRI.mp4,Tristeza,SG,0.35,Feliz,0.81,0.46,Enojo,0.603,0.603,0.35,0.81,0.045
ED_03_TRA.ogg,Tranquilidad,ED,0.326,Feliz,0.769,0.443,Enojo,0.689,0.689,0.119,0.769,0.326
SG_02_TRI.ogg,Tristeza,SG,0.211,Tranquilidad,0.651,0.44,Enojo,0.43,0.43,0.211,0.351,0.651
ED_04_TRA_S.ogg,Tranquilidad,ED,0.183,Enojo,0.597,0.414,Feliz,0.532,0.597,0.417,0.532,0.183
VA_10_TRI.ogg,Tristeza,VA,0.306,Enojo,0.7,0.394,Feliz,0.527,0.7,0.306,0.527,0.318
ED_03_TRI_S.ogg,Tristeza,ED,0.21,Enojo,0.603,0.393,Feliz,0.586,0.603,0.21,0.586,0.425
SG_01_TRA.ogg,Tranquilidad,SG,0.348,Feliz,0.741,0.392,Enojo,0.61,0.61,0.144,0.741,0.348
VZ_04_TRA.ogg,Tranquilidad,VZ,0.229,Tristeza,0.621,0.392,Enojo,0.422,0.422,0.621,0.267,0.229
VA_01_TRI.ogg,Tristeza,VA,0.172,Enojo,0.556,0.384,Tranquilidad,0.513,0.556,0.172,0.467,0.513
ED_04_TRI.ogg,Tristeza,ED,0.222,Enojo,0.593,0.371,Feliz,0.575,0.593,0.222,0.575,0.345
VZ_02_TRA.ogg,Tranquilidad,VZ,0.178,Tristeza,0.534,0.356,Feliz,0.527,0.439,0.534,0.527,0.178
VA_03_TRI.ogg,Tristeza,VA,0.235,Enojo,0.586,0.351,Feliz,0.526,0.586,0.235,0.526,0.365
VA_05_TRI.mp4,Tristeza,VA,0.218,Enojo,0.567,0.349,Feliz,0.528,0.567,0.218,0.528,0.434
VA_02_TRI.ogg,Tristeza,VA,0.187,Enojo,0.526,0.338,Feliz,0.484,0.526,0.187,0.484,0.373
VA_09_TRI.ogg,Tristeza,VA,0.176,Tranquilidad,0.51,0.334,Enojo,0.499,0.499,0.176,0.439,0.51
MT_08_TRI.ogg,Tristeza,MT,0.238,Enojo,0.569,0.33,Feliz,0.509,0.569,0.238,0.509,0.402
VZ_03_TRI.ogg,Tristeza,VZ,0.204,Enojo,0.534,0.33,Tranquilidad,0.533,0.534,0.204,0.415,0.533
MT_10_TRI.ogg,Tristeza,MT,0.243,Enojo,0.57,0.326,Feliz,0.534,0.57,0.243,0.534,0.348
VA_03_TRA.ogg,Tranquilidad,VA,0.297,Enojo,0.621,0.324,Feliz,0.539,0.621,0.245,0.539,0.297
VZ_10_TRI.ogg,Tristeza,VZ,0.289,Tranquilidad,0.613,0.323,Enojo,0.34,0.34,0.289,0.17,0.613
VA_15_TRI.mp4,Tristeza,VA,0.294,Tranquilidad,0.61,0.317,Feliz,0.43,0.401,0.294,0.43,0.61
VZ_01_ENO.mp4,Enojo,VZ,0.252,Tristeza,0.564,0.312,Tranquilidad,0.37,0.252,0.564,0.261,0.37
VZ_02_TRI.ogg,Tristeza,VZ,0.341,Enojo,0.652,0.311,Feliz,0.586,0.652,0.341,0.586,0.194
MT_02_TRI.ogg,Tristeza,MT,0.304,Enojo,0.606,0.303,Feliz,0.515,0.606,0.304,0.515,0.358
ED_05_TRI.ogg,Tristeza,ED,0.174,Enojo,0.47,0.296,Feliz,0.468,0.47,0.174,0.468,0.386
MT_06_TRA.ogg,Tranquilidad,MT,0.316,Enojo,0.601,0.285,Feliz,0.477,0.601,0.452,0.477,0.316
ED_02_TRI_S.ogg,Tristeza,ED,0.273,Tranquilidad,0.55,0.277,Enojo,0.441,0.441,0.273,0.336,0.55
VA_08_TRI.ogg,Tristeza,VA,0.309,Enojo,0.585,0.275,Feliz,0.517,0.585,0.309,0.517,0.373
