archivo,clase_etiqueta,recolector,arousal,valence,dominance,score_Enojo,score_Feliz,score_Tranquilidad,score_Tristeza,score_propio,suena_a,score_suena_a,delta
MT_08_ENO.ogg,Enojo,MT,0.335,0.522,0.396,0.006,0.022,0.861,0.292,0.006,Tranquilidad,0.861,0.855
SG_02_ENO.ogg,Enojo,SG,0.329,0.471,0.399,0.007,0.013,0.799,0.407,0.007,Tranquilidad,0.799,0.791
MT_09_ENO.ogg,Enojo,MT,0.371,0.47,0.446,0.018,0.023,0.801,0.319,0.018,Tranquilidad,0.801,0.783
VA_12_FE.ogg,Feliz,VA,0.396,0.514,0.446,0.019,0.042,0.821,0.218,0.042,Tranquilidad,0.821,0.779
VA_12_ENO.ogg,Enojo,VA,0.431,0.571,0.474,0.023,0.094,0.796,0.111,0.023,Tranquilidad,0.796,0.773
VA_15_FE.mp4,Feliz,VA,0.397,0.478,0.453,0.023,0.031,0.775,0.267,0.031,Tranquilidad,0.775,0.743
VZ_09_ENO.ogg,Enojo,VZ,0.442,0.569,0.492,0.03,0.104,0.77,0.1,0.03,Tranquilidad,0.77,0.74
MT_06_TRI.ogg,Tristeza,MT,0.395,0.57,0.452,0.014,0.065,0.87,0.143,0.143,Tranquilidad,0.87,0.727
VA_05_ENO.mp4,Enojo,VA,0.284,0.391,0.348,0.004,0.003,0.585,0.7,0.004,Tristeza,0.7,0.696
VZ_02_TRA.ogg,Tranquilidad,VZ,0.172,0.305,0.256,0.0,0.0,0.252,0.939,0.252,Tristeza,0.939,0.687
ED_04_TRI.ogg,Tristeza,ED,0.396,0.549,0.448,0.016,0.056,0.853,0.17,0.17,Tranquilidad,0.853,0.683
VA_11_ENO.ogg,Enojo,VA,0.448,0.522,0.502,0.043,0.078,0.725,0.132,0.043,Tranquilidad,0.725,0.682
SG_04_ENO.ogg,Enojo,SG,0.466,0.598,0.479,0.028,0.147,0.706,0.07,0.028,Tranquilidad,0.706,0.678
SG_03_ENO.ogg,Enojo,SG,0.105,0.394,0.244,0.0,0.0,0.262,0.672,0.0,Tristeza,0.672,0.672
VA_07_TRI.ogg,Tristeza,VA,0.448,0.585,0.474,0.025,0.117,0.755,0.089,0.089,Tranquilidad,0.755,0.666
VA_03_ENO.ogg,Enojo,VA,0.445,0.482,0.482,0.044,0.051,0.686,0.185,0.044,Tranquilidad,0.686,0.642
ED_05_TRI.ogg,Tristeza,ED,0.468,0.601,0.502,0.032,0.158,0.702,0.063,0.063,Tranquilidad,0.702,0.639
VZ_10_ENO.ogg,Enojo,VZ,0.45,0.476,0.472,0.045,0.05,0.663,0.19,0.045,Tranquilidad,0.663,0.618
VZ_06_TRI.ogg,Tristeza,VZ,0.384,0.528,0.415,0.012,0.039,0.829,0.225,0.225,Tranquilidad,0.829,0.604
VA_14_TRI.ogg,Tristeza,VA,0.487,0.634,0.502,0.03,0.219,0.638,0.041,0.041,Tranquilidad,0.638,0.598
VZ_07_ENO.ogg,Enojo,VZ,0.467,0.498,0.498,0.056,0.071,0.649,0.139,0.056,Tranquilidad,0.649,0.594
VZ_09_TRI.ogg,Tristeza,VZ,0.407,0.513,0.446,0.021,0.046,0.797,0.208,0.208,Tranquilidad,0.797,0.589
MT_01_ENO.ogg,Enojo,MT,0.486,0.546,0.506,0.053,0.123,0.634,0.085,0.053,Tranquilidad,0.634,0.581
MT_04_ENO.mp4,Enojo,MT,0.469,0.49,0.485,0.054,0.066,0.635,0.15,0.054,Tranquilidad,0.635,0.581
VZ_01_FEL.ogg,Feliz,VZ,0.466,0.495,0.488,0.052,0.068,0.648,0.147,0.068,Tranquilidad,0.648,0.58
VZ_03_ENO.ogg,Enojo,VZ,0.485,0.54,0.51,0.056,0.117,0.632,0.089,0.056,Tranquilidad,0.632,0.576
VZ_04_ENO.ogg,Enojo,VZ,0.418,0.396,0.484,0.049,0.017,0.602,0.323,0.049,Tranquilidad,0.602,0.553
VA_15ENO.mp4,Enojo,VA,0.375,0.274,0.438,0.03,0.002,0.388,0.582,0.03,Tristeza,0.582,0.552
SG_04_TRA.ogg,Tranquilidad,SG,0.693,0.675,0.632,0.12,0.649,0.121,0.002,0.121,Feliz,0.649,0.529
VZ_03_FEL.ogg,Feliz,VZ,0.625,0.278,0.627,0.537,0.014,0.103,0.044,0.014,Enojo,0.537,0.523
MT_02_FEL.ogg,Feliz,MT,0.484,0.557,0.515,0.052,0.133,0.644,0.078,0.133,Tranquilidad,0.644,0.511
MT_02_TRI.ogg,Tristeza,MT,0.475,0.504,0.507,0.061,0.081,0.634,0.123,0.123,Tranquilidad,0.634,0.511
VZ_05_ENO.ogg,Enojo,VZ,0.5,0.518,0.529,0.079,0.111,0.571,0.087,0.079,Tranquilidad,0.571,0.493
VZ_03_TRI.ogg,Tristeza,VZ,0.497,0.515,0.539,0.082,0.108,0.574,0.087,0.087,Tranquilidad,0.574,0.487
MT_09_TRA.ogg,Tranquilidad,MT,0.248,0.327,0.322,0.002,0.001,0.413,0.899,0.413,Tristeza,0.899,0.485
SG_05_TRI.ogg,Tristeza,SG,0.475,0.5,0.472,0.049,0.073,0.626,0.141,0.141,Tranquilidad,0.626,0.485
VA_04_ENO.ogg,Enojo,VA,0.513,0.543,0.526,0.075,0.146,0.549,0.067,0.075,Tranquilidad,0.549,0.474
VA_01_TRI.ogg,Tristeza,VA,0.496,0.497,0.509,0.075,0.088,0.568,0.11,0.11,Tranquilidad,0.568,0.458
SG_01_TRI.ogg,Tristeza,SG,0.44,0.461,0.469,0.043,0.04,0.666,0.221,0.221,Tranquilidad,0.666,0.444
VA_06_TRI.ogg,Tristeza,VA,0.545,0.638,0.534,0.053,0.325,0.464,0.022,0.022,Tranquilidad,0.464,0.442
VA_13_FE.mpeg,Feliz,VA,0.506,0.522,0.546,0.088,0.12,0.551,0.076,0.12,Tranquilidad,0.551,0.431
MT_06_ENO.ogg,Enojo,MT,0.517,0.525,0.549,0.095,0.132,0.522,0.068,0.095,Tranquilidad,0.522,0.426
VA_08_ENO.ogg,Enojo,VA,0.513,0.511,0.55,0.1,0.116,0.52,0.076,0.1,Tranquilidad,0.52,0.42
SG_01_FEL.ogg,Feliz,SG,0.637,0.364,0.617,0.464,0.045,0.139,0.035,0.045,Enojo,0.464,0.42
VZ_01_ENO.mp4,Enojo,VZ,0.461,0.384,0.502,0.084,0.022,0.498,0.246,0.084,Tranquilidad,0.498,0.414
SG_05_ENO.ogg,Enojo,SG,0.502,0.465,0.532,0.104,0.07,0.514,0.117,0.104,Tranquilidad,0.514,0.41
VA_13_TRI.mpeg,Tristeza,VA,0.303,0.489,0.383,0.004,0.011,0.812,0.406,0.406,Tranquilidad,0.812,0.407
MT_11.mp3_ENO.mpeg,Enojo,MT,0.513,0.494,0.541,0.104,0.099,0.51,0.087,0.104,Tranquilidad,0.51,0.406
VZ_05_TRI.ogg,Tristeza,VZ,0.378,0.456,0.427,0.017,0.02,0.753,0.347,0.347,Tranquilidad,0.753,0.406
VA_08_TRI.ogg,Tristeza,VA,0.33,0.456,0.417,0.009,0.012,0.792,0.428,0.428,Tranquilidad,0.792,0.364
ED_02_TRI_S.ogg,Tristeza,ED,0.362,0.456,0.401,0.012,0.016,0.747,0.391,0.391,Tranquilidad,0.747,0.356
VA_06_ENO.ogg,Enojo,VA,0.55,0.547,0.529,0.095,0.186,0.444,0.047,0.095,Tranquilidad,0.444,0.349
MT_08_TRI.ogg,Tristeza,MT,0.475,0.419,0.518,0.093,0.036,0.522,0.185,0.185,Tranquilidad,0.522,0.337
VA_07_ENO.ogg,Enojo,VA,0.534,0.491,0.538,0.12,0.108,0.453,0.076,0.12,Tranquilidad,0.453,0.333
VZ_04_TRA.ogg,Tranquilidad,VZ,0.24,0.363,0.337,0.002,0.001,0.493,0.826,0.493,Tristeza,0.826,0.333
SG_09_TRA.mp4,Tranquilidad,SG,0.223,0.39,0.282,0.001,0.001,0.446,0.777,0.446,Tristeza,0.777,0.33
VA_10_ENO.ogg,Enojo,VA,0.548,0.535,0.553,0.114,0.171,0.438,0.048,0.114,Tranquilidad,0.438,0.324
VZ_06_TRA.ogg,Tranquilidad,VZ,0.604,0.689,0.598,0.069,0.553,0.274,0.006,0.274,Feliz,0.553,0.279
VA_02_ENO.ogg,Enojo,VA,0.56,0.524,0.545,0.125,0.165,0.402,0.048,0.125,Tranquilidad,0.402,0.277
VZ_06_ENO.ogg,Enojo,VZ,0.562,0.525,0.546,0.126,0.168,0.399,0.046,0.126,Tranquilidad,0.399,0.273
VA_09_ENO.ogg,Enojo,VA,0.507,0.38,0.532,0.145,0.029,0.395,0.163,0.145,Tranquilidad,0.395,0.25
VA_14_ENO.ogg,Enojo,VA,0.557,0.514,0.573,0.146,0.153,0.396,0.047,0.146,Tranquilidad,0.396,0.25
ED_01_FEL.ogg,Feliz,ED,0.709,0.495,0.675,0.42,0.193,0.088,0.006,0.193,Enojo,0.42,0.227
VZ_02_FEL.ogg,Feliz,VZ,0.559,0.522,0.582,0.148,0.165,0.391,0.042,0.165,Tranquilidad,0.391,0.226
